Date,Open,High,Low,Close,Volume,Weekly_Return,Volatility_4W
2020-02-02,474.02,494.1,469.35,480.43,1650205,-0.0319,0.0408
2020-02-09,480.43,501.98,476.1,489.69,1187700,0.0193,0.045
2020-02-16,486.49,517.65,483.89,501.55,1399735,0.0242,0.041
2020-02-23,500.34,508.13,480.94,486.14,1154755,-0.0307,0.0307
2020-03-01,463.63,471.77,419.18,437.84,2267591,-0.0994,0.0575
2020-03-08,447.79,453.16,411.61,418.53,1812863,-0.0441,0.0508
2020-03-15,382.57,419.92,327.56,350.58,3454189,-0.1624,0.06
2020-03-22,322.58,365.99,301.72,363.31,2769099,0.0363,0.0844
2020-03-29,341.92,427.19,331.19,415.07,1724328,0.1425,0.1288
2020-04-05,415.37,435.07,384.77,391.87,1236785,-0.0559,0.13
2020-04-12,405.98,431.78,396.72,410.05,840776,0.0464,0.0811
2020-04-19,411.82,444.16,407.37,435.76,913265,0.0627,0.0815
2020-04-26,440.26,441.91,385.6,390.7,939425,-0.1034,0.0801
2020-05-03,394.55,417.23,394.21,398.36,672907,0.0196,0.0753
2020-05-10,396.81,398.41,375.25,387.37,1166552,-0.0276,0.0711
2020-05-17,388.5,391.48,350.67,356.08,1023609,-0.0808,0.0552
2020-05-24,359.84,383.99,359.84,366.08,1168571,0.0281,0.0501
2020-05-31,370.49,418.62,364.13,406.5,1362645,0.1104,0.0817
2020-06-07,415.5,465.45,406.54,464.07,1324704,0.1416,0.0994
2020-06-14,459.74,462.68,412.91,421.87,1340373,-0.0909,0.1038
2020-06-21,409.92,449.09,403.77,441.39,1489018,0.0463,0.1031
2020-06-28,435.41,444.24,405.32,416.63,1212521,-0.0561,0.1052
2020-07-05,415.36,435.41,410.38,432.17,868817,0.0373,0.0682
2020-07-12,440.82,443.18,428.99,436.5,753327,0.01,0.0463
2020-07-19,441.08,459.25,433.66,450.17,851165,0.0313,0.0428
2020-07-26,448.86,460.65,426.28,432.35,769991,-0.0396,0.0349
2020-08-02,430.73,447.2,420.34,420.78,1244364,-0.0268,0.0327
2020-08-09,421.65,432.87,414.53,423.92,697895,0.0075,0.0323
2020-08-16,426.19,446.41,418.55,433.75,676238,0.0232,0.0292
2020-08-23,433.27,442.65,426.15,432.78,522782,-0.0022,0.021
2020-08-30,436.72,456.89,435.32,450.95,733171,0.042,0.0193
2020-09-06,452.44,498.99,447.55,484.75,1176926,0.075,0.0325
2020-09-13,487.9,503.1,478.29,498.38,783790,0.0281,0.032
2020-09-20,503.97,526.5,500.21,513.32,1414379,0.03,0.0217
2020-09-27,510.87,512.27,486.06,494.36,980661,-0.0369,0.0461
2020-10-04,500.39,510.78,495.76,504.67,837087,0.0209,0.0319
2020-10-11,508.34,513.58,500.74,508.16,612750,0.0069,0.0296
2020-10-18,508.95,520.13,492.35,514.8,860035,0.0131,0.0259
2020-10-25,514.89,519.52,483.44,485.63,983113,-0.0567,0.0356
2020-11-01,478.81,486.15,445.8,452.87,1231314,-0.0675,0.0419
2020-11-08,454.18,498.29,447.98,495.67,1036955,0.0945,0.0748
2020-11-15,503.45,547.55,499.78,531.92,1382078,0.0731,0.0848
2020-11-22,537.95,548.69,532.79,536.02,850341,0.0077,0.073
2020-11-29,539.26,541.09,523.36,529.47,733481,-0.0122,0.0511
2020-12-06,526.77,532.53,522.05,525.72,728524,-0.0071,0.0394
2020-12-13,522.31,524.67,498.29,500.91,1031743,-0.0472,0.0233
2020-12-20,501.87,506.59,470.78,487.37,1696384,-0.027,0.018
2020-12-27,479.86,489.82,472.35,482.74,490591,-0.0095,0.0186
2021-01-03,488.07,519.87,487.46,519.17,535652,0.0755,0.0539
2021-01-10,522.75,522.75,495.85,512.09,783055,-0.0136,0.0467
2021-01-17,508.95,514.54,485.71,490.69,737296,-0.0418,0.0506
2021-01-24,489.99,497.79,474.62,477.26,851496,-0.0274,0.0528
2021-01-31,477.26,491.56,465.59,475.15,1136951,-0.0044,0.0163
2021-02-07,476.64,491.73,471.47,481.64,1188850,0.0137,0.0245
2021-02-14,485.24,490.33,474.98,480.68,802178,-0.002,0.0169
2021-02-21,483.05,502.87,450.32,463.22,1917924,-0.0363,0.021
2021-02-28,464.1,467.78,454.8,460.5,1142980,-0.0059,0.0209
2021-03-07,468.48,494.36,467.08,472.87,1069581,0.0269,0.0259
2021-03-14,474.71,526.47,471.99,523.23,1109642,0.1065,0.0615
2021-03-21,525.86,535.16,513.75,520.77,1229837,-0.0047,0.0528
2021-03-28,518.49,518.58,489.8,495.59,843990,-0.0484,0.0654
2021-04-04,497.61,528.93,497.43,525.86,657477,0.0611,0.0687
2021-04-11,533.4,536.83,517.17,536.83,534453,0.0209,0.0459
2021-04-18,537.09,564.99,529.98,557.09,964536,0.0377,0.0471
2021-04-25,558.23,579.73,545.69,569.2,987477,0.0217,0.0188
2021-05-02,569.02,593.41,564.46,584.73,781663,0.0273,0.0077
2021-05-09,587.01,614.91,583.85,614.82,920928,0.0515,0.0131
2021-05-16,616.51,626.77,604.92,625.26,839449,0.017,0.0153
2021-05-23,628.0,638.09,615.09,636.67,631584,0.0182,0.016
2021-05-30,638.88,662.94,634.73,662.32,653118,0.0403,0.017
2021-06-06,662.68,665.95,649.67,650.74,569550,-0.0175,0.0239
2021-06-13,652.51,663.74,644.01,657.1,672012,0.0098,0.0239
2021-06-20,661.0,680.63,654.72,663.38,716092,0.0096,0.0236
2021-06-27,662.06,676.65,650.21,671.52,654264,0.0123,0.0141
2021-07-04,669.58,671.79,645.52,649.59,681783,-0.0327,0.0217
2021-07-11,647.46,655.07,622.79,646.76,651164,-0.0044,0.0206
2021-07-18,646.49,667.54,640.65,647.29,611061,0.0008,0.0191
2021-07-25,638.8,663.12,620.49,661.26,576582,0.0216,0.0224
2021-08-01,657.81,674.18,634.37,668.87,617353,0.0115,0.0116
2021-08-08,675.15,695.93,675.15,692.13,526763,0.0348,0.0145
2021-08-15,693.63,705.84,691.51,697.79,403751,0.0082,0.012
2021-08-22,690.98,690.98,571.4,577.14,1649155,-0.1729,0.0963
2021-08-29,594.39,604.39,584.13,591.39,903935,0.0247,0.0983
2021-09-05,592.09,617.39,590.41,604.39,870429,0.022,0.0959
2021-09-12,605.01,627.3,604.65,615.97,629747,0.0192,0.0975
2021-09-19,617.04,619.51,550.17,563.61,1656195,-0.085,0.0535
2021-09-26,550.43,582.54,545.21,560.6,1123580,-0.0053,0.05
2021-10-03,565.2,567.86,533.45,554.85,1343483,-0.0103,0.045
2021-10-10,536.46,566.62,535.22,554.59,1024140,-0.0005,0.04
2021-10-17,555.47,599.88,550.17,591.56,917286,0.0667,0.0363
2021-10-24,586.52,586.52,541.94,571.48,1273812,-0.0339,0.0431
2021-10-31,573.78,578.03,564.23,573.34,831062,0.0033,0.042
2021-11-07,578.38,593.33,566.27,583.69,881880,0.0181,0.0416
2021-11-14,583.42,610.14,577.94,599.52,1002873,0.0271,0.0269
2021-11-21,599.26,645.78,598.2,634.11,1378577,0.0577,0.023
2021-11-28,635.26,639.5,586.26,588.64,1019278,-0.0717,0.0556
2021-12-05,591.74,626.94,591.03,605.01,1193631,0.0278,0.0564
2021-12-12,608.28,654.54,597.49,619.6,923623,0.0241,0.0562
2021-12-19,621.19,630.22,600.85,610.14,1028320,-0.0153,0.0463
2021-12-26,592.71,614.56,589.97,607.66,462521,-0.0041,0.0211
2022-01-02,606.78,628.89,603.24,625.26,352275,0.029,0.0215
2022-01-09,627.12,655.25,624.73,634.55,943989,0.0149,0.0197
2022-01-16,649.94,653.04,584.61,591.54,1015302,-0.0678,0.0427
2022-01-23,595.81,618.29,585.76,594.47,927541,0.005,0.0432
2022-01-30,591.09,600.34,561.85,575.81,1026826,-0.0314,0.0377
2022-02-06,583.54,616.16,575.89,579.72,956860,0.0068,0.0353
2022-02-13,582.21,583.81,548.78,550.92,944999,-0.0497,0.0278
2022-02-20,533.58,606.56,528.61,592.52,1280449,0.0755,0.0554
2022-02-27,599.09,599.98,535.1,567.63,1230745,-0.042,0.0576
2022-03-06,558.12,568.61,495.72,496.52,1569272,-0.1253,0.0829
2022-03-13,468.61,520.87,465.59,495.19,1572798,-0.0027,0.0835
2022-03-20,499.27,537.32,478.12,537.32,1385126,0.0851,0.0874
2022-03-27,532.43,540.34,509.76,517.59,893684,-0.0367,0.087
2022-04-03,518.03,540.7,506.65,511.36,1034403,-0.012,0.0531
2022-04-10,513.23,520.7,485.14,490.03,911031,-0.0417,0.0591
2022-04-17,486.65,488.25,454.3,474.48,1035893,-0.0317,0.013
2022-04-24,470.92,497.76,457.23,470.39,1202544,-0.0086,0.0158
2022-05-01,460.43,468.43,441.77,456.08,1278567,-0.0304,0.0139
2022-05-08,448.52,456.3,408.38,413.99,1114591,-0.0923,0.036
2022-05-15,410.87,419.19,391.25,415.98,1277807,0.0048,0.043
2022-05-22,414.4,429.95,402.6,407.16,1111510,-0.0212,0.0411
2022-05-29,414.03,442.11,398.44,442.11,1252435,0.0858,0.0735
2022-06-05,447.98,475.29,447.62,471.04,1648564,0.0654,0.0502
2022-06-12,477.28,480.62,459.74,461.46,1180790,-0.0203,0.0562
2022-06-19,454.76,461.09,434.06,435.64,1674850,-0.056,0.0678
2022-06-26,440.62,457.57,431.12,454.31,991575,0.0429,0.056
2022-07-03,461.09,463.26,434.33,440.53,925922,-0.0303,0.042
2022-07-10,443.6,461.46,429.0,452.96,1010516,0.0282,0.047
2022-07-17,439.21,459.65,432.07,449.25,954217,-0.0082,0.0334
2022-07-24,453.5,484.51,451.78,480.35,871228,0.0692,0.0436
2022-07-31,479.36,510.46,462.36,503.5,967326,0.0482,0.0329
2022-08-07,503.59,506.3,487.4,491.47,689727,-0.0239,0.0445
2022-08-14,495.18,511.63,485.59,507.2,608775,0.032,0.0399
2022-08-21,507.2,516.52,503.59,504.58,608220,-0.0052,0.0331
2022-08-28,501.78,502.05,473.84,478.18,725933,-0.0523,0.0353
2022-09-04,470.59,477.19,438.94,448.53,895245,-0.062,0.0437
2022-09-11,439.89,477.46,437.5,472.12,1007255,0.0526,0.0525
2022-09-18,475.92,488.58,445.05,446.76,1026471,-0.0537,0.0545
2022-09-25,445.14,456.12,430.99,431.44,861110,-0.0343,0.0526
2022-10-02,428.77,437.5,403.55,414.58,1160324,-0.0391,0.0482
2022-10-09,410.46,437.09,403.23,406.4,1134519,-0.0197,0.014
2022-10-16,399.39,416.34,386.55,405.04,896212,-0.0033,0.0161
2022-10-23,404.13,428.59,398.53,410.55,1099530,0.0136,0.0225
2022-10-30,411.82,433.88,407.3,419.28,1133034,0.0213,0.0183
2022-11-06,421.13,460.1,416.75,455.13,1126431,0.0855,0.0389
2022-11-13,454.31,505.85,450.7,491.47,1013538,0.0798,0.0378
2022-11-20,491.47,499.88,482.25,498.25,1070178,0.0138,0.0378
2022-11-27,494.09,501.78,485.59,493.01,797880,-0.0105,0.0479
2022-12-04,486.59,519.77,486.32,506.03,1146124,0.0264,0.0382
2022-12-11,505.85,507.84,468.42,473.3,1090291,-0.0647,0.0403
2022-12-18,470.04,481.89,435.01,443.96,1541791,-0.062,0.0438
2022-12-25,442.79,445.41,419.87,426.69,976007,-0.0389,0.0424
2023-01-01,430.76,437.63,427.55,429.9,505104,0.0075,0.0334
2023-01-08,433.97,477.1,432.21,477.01,1002350,0.1096,0.0761
2023-01-15,476.64,510.55,467.06,509.55,1185659,0.0682,0.0655
2023-01-22,511.01,513.02,480.94,484.49,1051418,-0.0492,0.0695
2023-01-29,487.41,511.74,483.85,508.28,951803,0.0491,0.0673
2023-02-05,506.55,545.55,501.72,545.55,1279673,0.0733,0.0573
2023-02-12,539.99,541.45,506.73,509.92,1104223,-0.0653,0.0694
2023-02-19,509.92,547.83,487.13,537.72,1701302,0.0545,0.063
2023-02-26,536.9,539.9,503.45,504.72,1027267,-0.0614,0.0739
2023-03-05,507.0,529.33,503.63,526.23,1031279,0.0426,0.0648
2023-03-12,533.34,534.43,512.56,522.77,813765,-0.0066,0.0529
2023-03-19,521.77,523.13,488.04,498.62,1630871,-0.0462,0.0465
2023-03-26,496.89,530.33,489.05,529.06,993613,0.061,0.0485
2023-04-02,533.61,550.11,520.58,546.83,890683,0.0336,0.0469
2023-04-09,546.46,549.2,501.08,506.18,839043,-0.0743,0.0641
2023-04-16,509.55,529.79,503.54,524.96,775378,0.0371,0.0603
2023-04-23,528.24,528.97,515.02,526.78,788604,0.0035,0.0518
2023-04-30,527.42,536.71,513.84,528.33,1040197,0.0029,0.0472
2023-05-07,530.27,535.46,514.8,520.17,632167,-0.0154,0.0219
2023-05-14,520.17,524.25,499.42,505.35,851963,-0.0285,0.0155
2023-05-21,507.48,514.61,495.81,495.81,663289,-0.0189,0.0131
2023-05-28,495.62,503.5,467.08,479.68,912774,-0.0325,0.008
2023-06-04,482.46,482.65,452.58,469.49,997057,-0.0212,0.0063
2023-06-11,469.4,470.6,459.58,467.64,657488,-0.0039,0.0118
2023-06-18,471.81,493.12,469.86,488.95,1148417,0.0456,0.0345
2023-06-25,486.26,488.12,461.43,465.32,748758,-0.0483,0.0395
2023-07-02,464.3,477.46,454.11,468.47,1007658,0.0068,0.0386
2023-07-09,471.62,471.62,439.29,442.53,874544,-0.0554,0.0479
2023-07-16,440.12,467.27,439.84,463.28,641186,0.0469,0.0484
2023-07-23,453.79,504.79,450.87,501.55,1374112,0.0826,0.0592
2023-07-30,499.51,506.65,475.05,492.19,921051,-0.0187,0.0624
2023-08-06,490.52,490.52,465.97,476.72,844833,-0.0314,0.0541
2023-08-13,474.4,494.69,472.83,479.13,737735,0.0051,0.0511
2023-08-20,477.55,479.03,451.93,456.43,510668,-0.0474,0.0222
2023-08-27,456.24,470.6,450.08,451.79,585782,-0.0102,0.0231
2023-09-03,455.82,465.32,451.84,452.91,730579,0.0025,0.0242
2023-09-10,457.35,461.8,425.29,435.21,740704,-0.0391,0.0236
2023-09-17,437.34,441.18,419.27,434.65,1297011,-0.0013,0.0188
2023-09-24,434.05,437.99,415.43,426.64,880654,-0.0184,0.019
2023-10-01,417.88,421.22,391.94,400.18,1267222,-0.062,0.0262
2023-10-08,401.2,405.47,382.63,394.11,907899,-0.0152,0.0263
2023-10-15,390.87,403.24,375.03,376.93,1051590,-0.0436,0.0221
2023-10-22,376.88,385.31,371.83,373.22,795645,-0.0098,0.0245
2023-10-29,373.22,378.64,351.77,355.34,1256976,-0.0479,0.0194
2023-11-05,357.24,382.63,349.04,377.34,1115907,0.0619,0.0508
2023-11-12,378.32,379.24,357.75,364.23,929148,-0.0347,0.049
2023-11-19,366.92,390.13,363.45,374.61,1131819,0.0285,0.052
2023-11-26,374.84,376.65,368.08,376.6,588742,0.0053,0.0406
2023-12-03,376.65,380.4,358.12,364.05,1046524,-0.0333,0.0309
2023-12-10,366.27,388.0,366.27,383.41,1132505,0.0532,0.0368
2023-12-17,382.86,398.47,375.54,387.17,1451021,0.0098,0.0354
2023-12-24,381.79,383.23,367.38,368.59,894422,-0.048,0.0457
2023-12-31,369.61,375.77,368.12,369.7,340411,0.003,0.0415
