date,Calvin Klein
2019-12-29,67
2020-01-05,60
2020-01-12,54
2020-01-19,54
2020-01-26,55
2020-02-02,55
2020-02-09,57
2020-02-16,50
2020-02-23,50
2020-03-01,53
2020-03-08,44
2020-03-15,34
2020-03-22,36
2020-03-29,41
2020-04-05,46
2020-04-12,48
2020-04-19,46
2020-04-26,50
2020-05-03,51
2020-05-10,53
2020-05-17,58
2020-05-24,59
2020-05-31,59
2020-06-07,60
2020-06-14,56
2020-06-21,65
2020-06-28,72
2020-07-05,57
2020-07-12,63
2020-07-19,60
2020-07-26,62
2020-08-02,62
2020-08-09,59
2020-08-16,55
2020-08-23,58
2020-08-30,55
2020-09-06,55
2020-09-13,52
2020-09-20,53
2020-09-27,56
2020-10-04,55
2020-10-11,56
2020-10-18,53
2020-10-25,55
2020-11-01,53
2020-11-08,61
2020-11-15,66
2020-11-22,100
2020-11-29,83
2020-12-06,82
2020-12-13,80
2020-12-20,81
2020-12-27,72
2021-01-03,64
2021-01-10,57
2021-01-17,57
2021-01-24,56
2021-01-31,55
2021-02-07,54
2021-02-14,51
2021-02-21,48
2021-02-28,51
2021-03-07,49
2021-03-14,47
2021-03-21,47
2021-03-28,49
2021-04-04,50
2021-04-11,48
2021-04-18,51
2021-04-25,49
2021-05-02,52
2021-05-09,51
2021-05-16,53
2021-05-23,52
2021-05-30,57
2021-06-06,52
2021-06-13,54
2021-06-20,53
2021-06-27,54
2021-07-04,59
2021-07-11,59
2021-07-18,56
2021-07-25,58
2021-08-01,54
2021-08-08,49
2021-08-15,53
2021-08-22,52
2021-08-29,52
2021-09-05,55
2021-09-12,52
2021-09-19,49
2021-09-26,50
2021-10-03,52
2021-10-10,51
2021-10-17,50
2021-10-24,54
2021-10-31,53
2021-11-07,61
2021-11-14,67
2021-11-21,87
2021-11-28,77
2021-12-05,76
2021-12-12,75
2021-12-19,76
2021-12-26,68
2022-01-02,60
2022-01-09,53
2022-01-16,47
2022-01-23,50
2022-01-30,50
2022-02-06,54
2022-02-13,52
2022-02-20,47
2022-02-27,47
2022-03-06,47
2022-03-13,49
2022-03-20,47
2022-03-27,47
2022-04-03,50
2022-04-10,52
2022-04-17,50
2022-04-24,51
2022-05-01,51
2022-05-08,57
2022-05-15,54
2022-05-22,50
2022-05-29,50
2022-06-05,49
2022-06-12,51
2022-06-19,53
2022-06-26,52
2022-07-03,54
2022-07-10,53
2022-07-17,53
2022-07-24,53
2022-07-31,52
2022-08-07,54
2022-08-14,52
2022-08-21,52
2022-08-28,48
2022-09-04,51
2022-09-11,53
2022-09-18,50
2022-09-25,50
2022-10-02,51
2022-10-09,52
2022-10-16,51
2022-10-23,52
2022-10-30,51
2022-11-06,53
2022-11-13,67
2022-11-20,87
2022-11-27,72
2022-12-04,69
2022-12-11,75
2022-12-18,74
2022-12-25,74
2023-01-01,56
2023-01-08,53
2023-01-15,53
2023-01-22,53
2023-01-29,53
2023-02-05,50
2023-02-12,50
2023-02-19,47
2023-02-26,47
2023-03-05,48
2023-03-12,47
2023-03-19,48
2023-03-26,70
2023-04-02,60
2023-04-09,55
2023-04-16,53
2023-04-23,53
2023-04-30,54
2023-05-07,58
2023-05-14,52
2023-05-21,54
2023-05-28,52
2023-06-04,50
2023-06-11,53
2023-06-18,52
2023-06-25,55
2023-07-02,58
2023-07-09,56
2023-07-16,53
2023-07-23,54
2023-07-30,55
2023-08-06,55
2023-08-13,56
2023-08-20,51
2023-08-27,54
2023-09-03,53
2023-09-10,48
2023-09-17,50
2023-09-24,50
2023-10-01,50
2023-10-08,53
2023-10-15,52
2023-10-22,53
2023-10-29,54
2023-11-05,56
2023-11-12,62
2023-11-19,91
2023-11-26,76
2023-12-03,68
2023-12-10,76
2023-12-17,72
2023-12-24,71
2023-12-31,64
