date,Christian Dior
2019-12-29,43
2020-01-05,41
2020-01-12,41
2020-01-19,46
2020-01-26,39
2020-02-02,37
2020-02-09,43
2020-02-16,48
2020-02-23,44
2020-03-01,44
2020-03-08,37
2020-03-15,28
2020-03-22,27
2020-03-29,26
2020-04-05,30
2020-04-12,33
2020-04-19,33
2020-04-26,37
2020-05-03,38
2020-05-10,44
2020-05-17,42
2020-05-24,45
2020-05-31,45
2020-06-07,46
2020-06-14,51
2020-06-21,54
2020-06-28,57
2020-07-05,59
2020-07-12,60
2020-07-19,68
2020-07-26,65
2020-08-02,59
2020-08-09,62
2020-08-16,61
2020-08-23,59
2020-08-30,55
2020-09-06,58
2020-09-13,56
2020-09-20,54
2020-09-27,56
2020-10-04,52
2020-10-11,54
2020-10-18,54
2020-10-25,49
2020-11-01,47
2020-11-08,54
2020-11-15,53
2020-11-22,59
2020-11-29,59
2020-12-06,63
2020-12-13,64
2020-12-20,78
2020-12-27,79
2021-01-03,66
2021-01-10,61
2021-01-17,63
2021-01-24,61
2021-01-31,57
2021-02-07,59
2021-02-14,62
2021-02-21,61
2021-02-28,59
2021-03-07,57
2021-03-14,58
2021-03-21,60
2021-03-28,63
2021-04-04,64
2021-04-11,60
2021-04-18,63
2021-04-25,62
2021-05-02,65
2021-05-09,66
2021-05-16,64
2021-05-23,65
2021-05-30,69
2021-06-06,73
2021-06-13,76
2021-06-20,72
2021-06-27,70
2021-07-04,69
2021-07-11,71
2021-07-18,74
2021-07-25,73
2021-08-01,73
2021-08-08,74
2021-08-15,80
2021-08-22,71
2021-08-29,71
2021-09-05,73
2021-09-12,69
2021-09-19,68
2021-09-26,68
2021-10-03,66
2021-10-10,65
2021-10-17,66
2021-10-24,65
2021-10-31,63
2021-11-07,73
2021-11-14,74
2021-11-21,74
2021-11-28,79
2021-12-05,79
2021-12-12,82
2021-12-19,93
2021-12-26,100
2022-01-02,86
2022-01-09,77
2022-01-16,68
2022-01-23,75
2022-01-30,78
2022-02-06,75
2022-02-13,76
2022-02-20,73
2022-02-27,75
2022-03-06,73
2022-03-13,74
2022-03-20,72
2022-03-27,71
2022-04-03,69
2022-04-10,72
2022-04-17,74
2022-04-24,76
2022-05-01,75
2022-05-08,76
2022-05-15,74
2022-05-22,85
2022-05-29,76
2022-06-05,84
2022-06-12,81
2022-06-19,79
2022-06-26,82
2022-07-03,84
2022-07-10,80
2022-07-17,83
2022-07-24,82
2022-07-31,83
2022-08-07,82
2022-08-14,83
2022-08-21,80
2022-08-28,79
2022-09-04,71
2022-09-11,70
2022-09-18,69
2022-09-25,67
2022-10-02,67
2022-10-09,68
2022-10-16,64
2022-10-23,63
2022-10-30,67
2022-11-06,67
2022-11-13,69
2022-11-20,66
2022-11-27,68
2022-12-04,70
2022-12-11,69
2022-12-18,80
2022-12-25,86
2023-01-01,76
2023-01-08,67
2023-01-15,69
2023-01-22,65
2023-01-29,63
2023-02-05,62
2023-02-12,61
2023-02-19,63
2023-02-26,62
2023-03-05,62
2023-03-12,60
2023-03-19,61
2023-03-26,64
2023-04-02,69
2023-04-09,64
2023-04-16,64
2023-04-23,64
2023-04-30,68
2023-05-07,67
2023-05-14,65
2023-05-21,67
2023-05-28,71
2023-06-04,71
2023-06-11,72
2023-06-18,71
2023-06-25,73
2023-07-02,76
2023-07-09,70
2023-07-16,71
2023-07-23,70
2023-07-30,70
2023-08-06,68
2023-08-13,68
2023-08-20,64
2023-08-27,65
2023-09-03,61
2023-09-10,61
2023-09-17,59
2023-09-24,62
2023-10-01,59
2023-10-08,58
2023-10-15,59
2023-10-22,59
2023-10-29,57
2023-11-05,71
2023-11-12,68
2023-11-19,72
2023-11-26,67
2023-12-03,72
2023-12-10,83
2023-12-17,82
2023-12-24,96
2023-12-31,74
