date,Ralph Lauren
2019-12-29,54
2020-01-05,47
2020-01-12,42
2020-01-19,42
2020-01-26,39
2020-02-02,39
2020-02-09,37
2020-02-16,38
2020-02-23,36
2020-03-01,35
2020-03-08,30
2020-03-15,25
2020-03-22,25
2020-03-29,25
2020-04-05,30
2020-04-12,32
2020-04-19,33
2020-04-26,35
2020-05-03,35
2020-05-10,38
2020-05-17,41
2020-05-24,40
2020-05-31,41
2020-06-07,41
2020-06-14,40
2020-06-21,42
2020-06-28,43
2020-07-05,40
2020-07-12,43
2020-07-19,41
2020-07-26,40
2020-08-02,41
2020-08-09,37
2020-08-16,39
2020-08-23,39
2020-08-30,40
2020-09-06,41
2020-09-13,37
2020-09-20,39
2020-09-27,40
2020-10-04,42
2020-10-11,40
2020-10-18,40
2020-10-25,40
2020-11-01,37
2020-11-08,46
2020-11-15,48
2020-11-22,71
2020-11-29,63
2020-12-06,60
2020-12-13,60
2020-12-20,55
2020-12-27,48
2021-01-03,42
2021-01-10,43
2021-01-17,41
2021-01-24,38
2021-01-31,37
2021-02-07,35
2021-02-14,35
2021-02-21,35
2021-02-28,36
2021-03-07,34
2021-03-14,36
2021-03-21,38
2021-03-28,40
2021-04-04,39
2021-04-11,39
2021-04-18,38
2021-04-25,37
2021-05-02,38
2021-05-09,39
2021-05-16,40
2021-05-23,39
2021-05-30,43
2021-06-06,40
2021-06-13,43
2021-06-20,42
2021-06-27,43
2021-07-04,43
2021-07-11,43
2021-07-18,47
2021-07-25,44
2021-08-01,43
2021-08-08,42
2021-08-15,41
2021-08-22,42
2021-08-29,40
2021-09-05,42
2021-09-12,42
2021-09-19,44
2021-09-26,44
2021-10-03,44
2021-10-10,45
2021-10-17,44
2021-10-24,45
2021-10-31,49
2021-11-07,53
2021-11-14,55
2021-11-21,82
2021-11-28,73
2021-12-05,69
2021-12-12,70
2021-12-19,68
2021-12-26,62
2022-01-02,50
2022-01-09,48
2022-01-16,43
2022-01-23,44
2022-01-30,44
2022-02-06,43
2022-02-13,40
2022-02-20,38
2022-02-27,39
2022-03-06,39
2022-03-13,42
2022-03-20,43
2022-03-27,44
2022-04-03,41
2022-04-10,43
2022-04-17,45
2022-04-24,43
2022-05-01,44
2022-05-08,44
2022-05-15,41
2022-05-22,42
2022-05-29,44
2022-06-05,45
2022-06-12,47
2022-06-19,45
2022-06-26,45
2022-07-03,46
2022-07-10,44
2022-07-17,40
2022-07-24,41
2022-07-31,45
2022-08-07,42
2022-08-14,44
2022-08-21,45
2022-08-28,44
2022-09-04,43
2022-09-11,45
2022-09-18,45
2022-09-25,48
2022-10-02,45
2022-10-09,48
2022-10-16,47
2022-10-23,45
2022-10-30,48
2022-11-06,52
2022-11-13,59
2022-11-20,81
2022-11-27,69
2022-12-04,64
2022-12-11,68
2022-12-18,64
2022-12-25,68
2023-01-01,53
2023-01-08,48
2023-01-15,46
2023-01-22,45
2023-01-29,46
2023-02-05,43
2023-02-12,39
2023-02-19,42
2023-02-26,41
2023-03-05,41
2023-03-12,40
2023-03-19,41
2023-03-26,44
2023-04-02,44
2023-04-09,45
2023-04-16,44
2023-04-23,45
2023-04-30,44
2023-05-07,43
2023-05-14,43
2023-05-21,42
2023-05-28,46
2023-06-04,44
2023-06-11,48
2023-06-18,48
2023-06-25,49
2023-07-02,51
2023-07-09,50
2023-07-16,51
2023-07-23,49
2023-07-30,51
2023-08-06,50
2023-08-13,47
2023-08-20,49
2023-08-27,54
2023-09-03,47
2023-09-10,50
2023-09-17,52
2023-09-24,55
2023-10-01,53
2023-10-08,54
2023-10-15,59
2023-10-22,58
2023-10-29,59
2023-11-05,62
2023-11-12,70
2023-11-19,100
2023-11-26,88
2023-12-03,81
2023-12-10,85
2023-12-17,77
2023-12-24,91
2023-12-31,70
