date,Tommy Hilfiger
2019-12-29,69
2020-01-05,63
2020-01-12,57
2020-01-19,57
2020-01-26,53
2020-02-02,54
2020-02-09,54
2020-02-16,51
2020-02-23,48
2020-03-01,47
2020-03-08,40
2020-03-15,33
2020-03-22,35
2020-03-29,36
2020-04-05,39
2020-04-12,44
2020-04-19,44
2020-04-26,46
2020-05-03,46
2020-05-10,49
2020-05-17,53
2020-05-24,55
2020-05-31,55
2020-06-07,53
2020-06-14,55
2020-06-21,58
2020-06-28,62
2020-07-05,58
2020-07-12,59
2020-07-19,53
2020-07-26,57
2020-08-02,54
2020-08-09,52
2020-08-16,51
2020-08-23,52
2020-08-30,59
2020-09-06,54
2020-09-13,52
2020-09-20,54
2020-09-27,59
2020-10-04,54
2020-10-11,56
2020-10-18,54
2020-10-25,53
2020-11-01,52
2020-11-08,63
2020-11-15,67
2020-11-22,100
2020-11-29,84
2020-12-06,83
2020-12-13,77
2020-12-20,77
2020-12-27,70
2021-01-03,62
2021-01-10,59
2021-01-17,57
2021-01-24,54
2021-01-31,56
2021-02-07,56
2021-02-14,52
2021-02-21,50
2021-02-28,51
2021-03-07,51
2021-03-14,50
2021-03-21,50
2021-03-28,53
2021-04-04,53
2021-04-11,51
2021-04-18,52
2021-04-25,50
2021-05-02,53
2021-05-09,52
2021-05-16,49
2021-05-23,51
2021-05-30,53
2021-06-06,56
2021-06-13,54
2021-06-20,51
2021-06-27,55
2021-07-04,59
2021-07-11,57
2021-07-18,55
2021-07-25,54
2021-08-01,50
2021-08-08,49
2021-08-15,52
2021-08-22,51
2021-08-29,50
2021-09-05,48
2021-09-12,50
2021-09-19,49
2021-09-26,51
2021-10-03,53
2021-10-10,52
2021-10-17,52
2021-10-24,51
2021-10-31,56
2021-11-07,61
2021-11-14,64
2021-11-21,91
2021-11-28,77
2021-12-05,79
2021-12-12,75
2021-12-19,73
2021-12-26,72
2022-01-02,61
2022-01-09,56
2022-01-16,49
2022-01-23,50
2022-01-30,54
2022-02-06,51
2022-02-13,48
2022-02-20,42
2022-02-27,43
2022-03-06,42
2022-03-13,43
2022-03-20,45
2022-03-27,44
2022-04-03,45
2022-04-10,48
2022-04-17,49
2022-04-24,48
2022-05-01,46
2022-05-08,47
2022-05-15,44
2022-05-22,44
2022-05-29,47
2022-06-05,46
2022-06-12,47
2022-06-19,48
2022-06-26,48
2022-07-03,50
2022-07-10,47
2022-07-17,43
2022-07-24,46
2022-07-31,45
2022-08-07,47
2022-08-14,45
2022-08-21,44
2022-08-28,43
2022-09-04,43
2022-09-11,44
2022-09-18,46
2022-09-25,48
2022-10-02,46
2022-10-09,46
2022-10-16,42
2022-10-23,43
2022-10-30,45
2022-11-06,49
2022-11-13,61
2022-11-20,77
2022-11-27,63
2022-12-04,62
2022-12-11,68
2022-12-18,60
2022-12-25,64
2023-01-01,52
2023-01-08,47
2023-01-15,48
2023-01-22,47
2023-01-29,44
2023-02-05,42
2023-02-12,41
2023-02-19,39
2023-02-26,37
2023-03-05,40
2023-03-12,40
2023-03-19,41
2023-03-26,40
2023-04-02,40
2023-04-09,43
2023-04-16,42
2023-04-23,42
2023-04-30,45
2023-05-07,41
2023-05-14,40
2023-05-21,41
2023-05-28,46
2023-06-04,44
2023-06-11,44
2023-06-18,43
2023-06-25,47
2023-07-02,48
2023-07-09,46
2023-07-16,43
2023-07-23,46
2023-07-30,43
2023-08-06,42
2023-08-13,40
2023-08-20,40
2023-08-27,43
2023-09-03,41
2023-09-10,38
2023-09-17,39
2023-09-24,39
2023-10-01,40
2023-10-08,42
2023-10-15,44
2023-10-22,45
2023-10-29,45
2023-11-05,49
2023-11-12,55
2023-11-19,77
2023-11-26,66
2023-12-03,60
2023-12-10,64
2023-12-17,59
2023-12-24,60
2023-12-31,47
